É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/06/09 11:35:40

,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ
2024/8/16 4:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.7,8,ìÏ,8,1,4,8,1,79,8,1
2024/8/16 5:00:00,29.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.8,8,ìÏìÏìå,8,1,4,8,1,77,8,1
2024/8/16 6:00:00,28.8,8,1,0.0,0,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,3.1,8,ñkêº,8,1,4,8,1,80,8,1
2024/8/16 7:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0.11,8,1,,0,1,2.2,8,ñkñkìå,8,1,4,8,1,78,8,1
2024/8/16 8:00:00,29.9,8,1,0,1,8,1,,,0,1,,,0,1,0.73,8,1,,0,1,1.2,8,ìåñkìå,8,1,4,8,1,78,8,1
2024/8/16 9:00:00,30.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0.83,8,1,,0,1,1.0,8,ìå,8,1,4,8,1,75,8,1
2024/8/16 10:00:00,30.7,8,1,0,1,8,1,,,0,1,,,0,1,1.29,8,1,,0,1,2.9,8,ìåìÏìå,8,1,4,8,1,72,8,1
2024/8/16 11:00:00,31.6,8,1,0,1,8,1,,,0,1,,,0,1,1.97,8,1,,0,1,1.9,8,ìå,8,1,4,8,1,69,8,1
2024/8/16 12:00:00,31.2,8,1,0,1,8,1,,,0,1,,,0,1,1.80,8,1,,0,1,4.5,8,ñk,8,1,4,8,1,71,8,1
2024/8/16 13:00:00,30.6,8,1,0.0,0,8,1,,,0,1,,,0,1,1.10,8,1,,0,1,4.9,8,ñkñkêº,8,1,4,8,1,74,8,1
2024/8/16 14:00:00,31.4,8,1,0.0,0,8,1,,,0,1,,,0,1,1.61,8,1,,0,1,2.4,8,ñkêº,8,1,4,8,1,70,8,1
2024/8/16 15:00:00,32.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,1.33,8,1,,0,1,2.6,8,ìåìÏìå,8,1,4,8,1,64,8,1
2024/8/16 16:00:00,32.1,8,1,0,1,8,1,,,0,1,,,0,1,1.44,8,1,,0,1,3.5,8,ìÏìÏìå,8,1,4,8,1,64,8,1
2024/8/16 17:00:00,31.5,8,1,0,1,8,1,,,0,1,,,0,1,1.04,8,1,,0,1,3.5,8,ìÏìå,8,1,4,8,1,67,8,1
2024/8/16 18:00:00,31.2,8,1,0,1,8,1,,,0,1,,,0,1,0.42,8,1,,0,1,3.4,8,ìÏ,8,1,4,8,1,70,8,1
2024/8/16 19:00:00,27.6,8,1,1.0,0,8,1,,,0,1,,,0,1,0.18,8,1,,0,1,5.0,8,ìå,8,1,10,8,1,82,8,1
2024/8/16 20:00:00,28.1,8,1,0.0,0,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,3.0,8,ìÏ,8,1,10,8,1,83,8,1
2024/8/16 21:00:00,28.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,1.2,8,ìÏìå,8,1,4,8,1,84,8,1
2024/8/16 22:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.7,8,ìÏìå,8,1,4,8,1,84,8,1
2024/8/16 23:00:00,28.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,0.7,8,ìåìÏìå,8,1,4,8,1,85,8,1
2024/8/17 00:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.1,8,ìÏìÏìå,8,1,4,8,1,81,8,1
2024/8/17 1:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.6,8,ìÏìå,8,1,4,8,1,81,8,1
2024/8/17 2:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.1,8,ìÏìÏìå,8,1,4,8,1,81,8,1
2024/8/17 3:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,0.8,8,ìå,8,1,4,8,1,80,8,1
2024/8/17 4:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.2,8,ìåìÏìå,8,1,4,8,1,80,8,1
2024/8/17 5:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,0.7,8,ìÏìå,8,1,4,8,1,82,8,1
2024/8/17 6:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,1.2,8,ìå,8,1,4,8,1,81,8,1
2024/8/17 7:00:00,28.9,8,1,0.0,0,8,1,,,0,1,,,0,1,0.04,8,1,,0,1,1.4,8,ìåñkìå,8,1,10,8,1,83,8,1
2024/8/17 8:00:00,30.0,8,1,0.0,0,8,1,,,0,1,,,0,1,0.40,8,1,,0,1,1.1,8,ìåñkìå,8,1,4,8,1,79,8,1
2024/8/17 9:00:00,30.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0.70,8,1,,0,1,2.1,8,ìå,8,1,4,8,1,78,8,1
2024/8/17 10:00:00,30.8,8,1,0,1,8,1,,,0,1,,,0,1,1.37,8,1,,0,1,2.9,8,ìå,8,1,4,8,1,76,8,1
2024/8/17 11:00:00,32.0,8,1,0,1,8,1,,,0,1,,,0,1,1.71,8,1,,0,1,3.5,8,ìå,8,1,4,8,1,72,8,1
2024/8/17 12:00:00,32.5,8,1,0,1,8,1,,,0,1,,,0,1,2.51,8,1,,0,1,4.7,8,ìå,8,1,4,8,1,69,8,1
2024/8/17 13:00:00,33.9,8,1,0,1,8,1,,,0,1,,,0,1,3.52,8,1,,0,1,4.5,8,ìåìÏìå,8,1,2,8,1,52,8,1
2024/8/17 14:00:00,31.9,8,1,0.0,0,8,1,,,0,1,,,0,1,2.60,8,1,,0,1,6.2,8,ìÏìå,8,1,10,8,1,71,8,1
2024/8/17 15:00:00,31.4,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,1.26,8,1,,0,1,3.8,8,ìåìÏìå,8,1,10,8,1,78,8,1
2024/8/17 16:00:00,31.1,8,1,0,1,8,1,,,0,1,,,0,1,1.22,8,1,,0,1,3.9,8,ìåìÏìå,8,1,4,8,1,69,8,1
2024/8/17 17:00:00,30.2,8,1,0,1,8,1,,,0,1,,,0,1,0.45,8,1,,0,1,4.0,8,ìÏìÏìå,8,1,4,8,1,69,8,1
2024/8/17 18:00:00,28.9,8,1,0.5,0,8,1,,,0,1,,,0,1,0.17,8,1,,0,1,5.4,8,ìÏìå,8,1,10,8,1,82,8,1
2024/8/17 19:00:00,28.1,8,1,0.5,0,8,1,,,0,1,,,0,1,0.07,8,1,,0,1,3.3,8,ìÏìÏìå,8,1,10,8,1,89,8,1
2024/8/17 20:00:00,27.9,8,1,0.0,0,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,2.6,8,ìÏ,8,1,4,8,1,90,8,1
2024/8/17 21:00:00,28.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,1.3,8,ìÏìå,8,1,4,8,1,89,8,1
2024/8/17 22:00:00,28.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,0.7,8,ìÏìÏêº,8,1,4,8,1,90,8,1
2024/8/17 23:00:00,28.0,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,0.9,8,ìÏìÏìå,8,1,4,8,1,91,8,1
2024/8/18 00:00:00,28.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.1,8,ìåìÏìå,8,1,4,8,1,88,8,1
2024/8/18 1:00:00,28.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,0.2,8,ê√â∏,8,1,4,8,1,90,8,1
2024/8/18 2:00:00,28.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,0.8,8,ìåñkìå,8,1,4,8,1,88,8,1
2024/8/18 3:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.1,8,ìåìÏìå,8,1,4,8,1,87,8,1
2024/8/18 4:00:00,28.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.7,8,ìåìÏìå,8,1,2,8,1,88,8,1
2024/8/18 5:00:00,28.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.3,8,ìå,8,1,4,8,1,83,8,1
2024/8/18 6:00:00,28.1,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,1.6,8,ìÏìå,8,1,2,8,1,85,8,1
2024/8/18 7:00:00,28.5,8,1,0,1,8,1,,,0,1,,,0,1,0.17,8,1,,0,1,0.7,8,ìåñkìå,8,1,2,8,1,86,8,1
2024/8/18 8:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0.75,8,1,,0,1,3.8,8,ìå,8,1,2,8,1,82,8,1
2024/8/18 9:00:00,30.2,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,1.66,8,1,,0,1,4.1,8,ìå,8,1,2,8,1,82,8,1
2024/8/18 10:00:00,31.6,8,1,0,1,8,1,,,0,1,,,0,1,2.40,8,1,,0,1,6.6,8,ìå,8,1,2,8,1,71,8,1
2024/8/18 11:00:00,32.3,8,1,0,1,8,1,,,0,1,,,0,1,2.81,8,1,,0,1,6.8,8,ìå,8,1,2,8,1,71,8,1
2024/8/18 12:00:00,32.1,8,1,0,1,8,1,,,0,1,,,0,1,3.29,8,1,,0,1,8.1,8,ìåìÏìå,8,1,2,8,1,68,8,1
2024/8/18 13:00:00,32.9,8,1,0,1,8,1,,,0,1,,,0,1,3.58,8,1,,0,1,6.2,8,ìåìÏìå,8,1,2,8,1,69,8,1
2024/8/18 14:00:00,32.3,8,1,0,1,8,1,,,0,1,,,0,1,2.72,8,1,,0,1,4.9,8,ìåìÏìå,8,1,2,8,1,67,8,1
2024/8/18 15:00:00,31.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,2.19,8,1,,0,1,5.9,8,ìÏìå,8,1,2,8,1,72,8,1
2024/8/18 16:00:00,31.7,8,1,0,1,8,1,,,0,1,,,0,1,1.80,8,1,,0,1,5.8,8,ìÏìå,8,1,2,8,1,65,8,1
2024/8/18 17:00:00,31.5,8,1,0,1,8,1,,,0,1,,,0,1,1.70,8,1,,0,1,7.2,8,ìÏìÏìå,8,1,2,8,1,75,8,1
2024/8/18 18:00:00,30.1,8,1,0,1,8,1,,,0,1,,,0,1,0.94,8,1,,0,1,4.6,8,ìÏìÏìå,8,1,2,8,1,75,8,1
2024/8/18 19:00:00,30.1,8,1,0.0,0,8,1,,,0,1,,,0,1,0.16,8,1,,0,1,5.7,8,ìÏìå,8,1,4,8,1,77,8,1
2024/8/18 20:00:00,29.9,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,3.7,8,ìÏìå,8,1,4,8,1,80,8,1
2024/8/18 21:00:00,29.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,5.2,8,ìÏìÏìå,8,1,10,8,1,83,8,1
2024/8/18 22:00:00,29.3,8,1,0.0,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,6.2,8,ìÏ,8,1,4,8,1,79,8,1
2024/8/18 23:00:00,27.7,8,1,1.0,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,7.4,8,ìÏìÏêº,8,1,10,8,1,89,8,1
2024/8/19 00:00:00,28.3,8,1,0.5,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,6.3,8,ìÏ,8,1,10,8,1,86,8,1
2024/8/19 1:00:00,27.6,8,1,0.5,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.1,8,ìÏìÏìå,8,1,4,8,1,91,8,1
2024/8/19 2:00:00,28.5,8,1,0.0,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,5.4,8,ìÏ,8,1,10,8,1,85,8,1
2024/8/19 3:00:00,28.2,8,1,0.5,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,6.6,8,ìÏ,8,1,4,8,1,87,8,1
2024/8/19 4:00:00,26.7,8,1,1.0,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,9.4,8,ìÏ,8,1,10,8,1,91,8,1
2024/8/19 5:00:00,27.7,8,1,3.5,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,8.6,8,ìÏ,8,1,4,8,1,86,8,1
2024/8/19 6:00:00,28.0,8,1,0.0,0,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,6.3,8,ìÏ,8,1,4,8,1,88,8,1
2024/8/19 7:00:00,28.8,8,1,0.0,0,8,1,,,0,1,,,0,1,0.10,8,1,,0,1,7.2,8,ìÏìÏìå,8,1,2,8,1,81,8,1
2024/8/19 8:00:00,29.0,8,1,0.0,0,8,1,,,0,1,,,0,1,0.41,8,1,,0,1,7.5,8,ìÏìÏìå,8,1,4,8,1,82,8,1
2024/8/19 9:00:00,29.7,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,1.05,8,1,,0,1,8.9,8,ìÏìÏìå,8,1,2,8,1,79,8,1
2024/8/19 10:00:00,30.2,8,1,0.0,0,8,1,,,0,1,,,0,1,1.92,8,1,,0,1,12.5,8,ìÏ,8,1,10,8,1,74,8,1
2024/8/19 11:00:00,31.0,8,1,0.0,0,8,1,,,0,1,,,0,1,2.22,8,1,,0,1,9.3,8,ìÏìÏìå,8,1,10,8,1,73,8,1
2024/8/19 12:00:00,31.1,8,1,0.0,0,8,1,,,0,1,,,0,1,2.62,8,1,,0,1,11.1,8,ìÏìÏìå,8,1,2,8,1,74,8,1
2024/8/19 13:00:00,29.9,8,1,1.5,0,8,1,,,0,1,,,0,1,2.48,8,1,,0,1,11.0,8,ìÏìÏìå,8,1,10,8,1,81,8,1
2024/8/19 14:00:00,30.6,8,1,0.0,0,8,1,,,0,1,,,0,1,2.47,8,1,,0,1,10.6,8,ìÏìÏìå,8,1,4,8,1,71,8,1
2024/8/19 15:00:00,30.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,1.65,8,1,,0,1,12.7,8,ìÏìÏìå,8,1,4,8,1,70,8,1
2024/8/19 16:00:00,30.0,8,1,0.0,0,8,1,,,0,1,,,0,1,1.24,8,1,,0,1,11.6,8,ìÏìÏìå,8,1,4,8,1,74,8,1
2024/8/19 17:00:00,29.4,8,1,0.0,0,8,1,,,0,1,,,0,1,0.66,8,1,,0,1,10.6,8,ìÏ,8,1,4,8,1,77,8,1
2024/8/19 18:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0.63,8,1,,0,1,9.2,8,ìÏ,8,1,4,8,1,76,8,1
2024/8/19 19:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0.11,8,1,,0,1,11.5,8,ìÏìÏìå,8,1,4,8,1,74,8,1
2024/8/19 20:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,10.3,8,ìÏìÏìå,8,1,4,8,1,79,8,1
2024/8/19 21:00:00,28.6,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,8.8,8,ìÏìÏìå,8,1,10,8,1,82,8,1
2024/8/19 22:00:00,28.7,8,1,0.0,0,8,1,,,0,1,,,0,1,0,8,1,,0,1,9.5,8,ìÏìÏìå,8,1,4,8,1,83,8,1
2024/8/19 23:00:00,28.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,8.8,8,ìÏìÏìå,8,1,2,8,1,85,8,1
2024/8/20 00:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,8.8,8,ìÏìÏìå,8,1,2,8,1,82,8,1
2024/8/20 1:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,6.6,8,ìÏ,8,1,2,8,1,79,8,1
2024/8/20 2:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,9.7,8,ìÏ,8,1,2,8,1,80,8,1
2024/8/20 3:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,7.8,8,ìÏ,8,1,4,8,1,82,8,1
2024/8/20 4:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,7.4,8,ìÏ,8,1,2,8,1,80,8,1
2024/8/20 5:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,8.5,8,ìÏìÏêº,8,1,4,8,1,78,8,1
2024/8/20 6:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,5.0,8,ìÏêº,8,1,2,8,1,83,8,1
2024/8/20 7:00:00,28.2,8,1,0.5,0,8,1,,,0,1,,,0,1,0.11,8,1,,0,1,4.1,8,ìÏìÏêº,8,1,10,8,1,91,8,1
2024/8/20 8:00:00,29.5,8,1,0.5,0,8,1,,,0,1,,,0,1,0.51,8,1,,0,1,6.8,8,ìÏìÏêº,8,1,2,8,1,83,8,1
2024/8/20 9:00:00,30.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,1.20,8,1,,0,1,6.8,8,ìÏêº,8,1,2,8,1,81,8,1
2024/8/20 10:00:00,30.9,8,1,0.0,0,8,1,,,0,1,,,0,1,2.14,8,1,,0,1,7.4,8,ìÏêº,8,1,2,8,1,76,8,1
2024/8/20 11:00:00,31.9,8,1,0,1,8,1,,,0,1,,,0,1,2.82,8,1,,0,1,5.9,8,ìÏêº,8,1,2,8,1,75,8,1
2024/8/20 12:00:00,31.7,8,1,0,1,8,1,,,0,1,,,0,1,3.12,8,1,,0,1,5.9,8,êºìÏêº,8,1,2,8,1,74,8,1
2024/8/20 13:00:00,32.0,8,1,0,1,8,1,,,0,1,,,0,1,3.51,8,1,,0,1,5.4,8,êºìÏêº,8,1,2,8,1,72,8,1
2024/8/20 14:00:00,32.1,8,1,0,1,8,1,,,0,1,,,0,1,3.19,8,1,,0,1,4.6,8,êºìÏêº,8,1,2,8,1,72,8,1
2024/8/20 15:00:00,31.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,3.00,8,1,,0,1,5.0,8,ìÏêº,8,1,2,8,1,68,8,1
2024/8/20 16:00:00,31.6,8,1,0,1,8,1,,,0,1,,,0,1,2.35,8,1,,0,1,3.8,8,ìÏìÏêº,8,1,2,8,1,71,8,1
2024/8/20 17:00:00,32.0,8,1,0,1,8,1,,,0,1,,,0,1,1.68,8,1,,0,1,4.7,8,êºìÏêº,8,1,2,8,1,71,8,1
2024/8/20 18:00:00,30.5,8,1,0,1,8,1,,,0,1,,,0,1,0.77,8,1,,0,1,3.0,8,ìÏìÏêº,8,1,2,8,1,76,8,1
2024/8/20 19:00:00,30.1,8,1,0,1,8,1,,,0,1,,,0,1,0.10,8,1,,0,1,3.2,8,ìÏìÏêº,8,1,2,8,1,79,8,1
2024/8/20 20:00:00,29.9,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,3.0,8,ìÏ,8,1,2,8,1,81,8,1
2024/8/20 21:00:00,29.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,2.5,8,ìÏìÏìå,8,1,2,8,1,81,8,1
2024/8/20 22:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.4,8,ìÏêº,8,1,2,8,1,82,8,1
2024/8/20 23:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.4,8,ìÏìÏêº,8,1,2,8,1,84,8,1
2024/8/21 00:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.5,8,ìÏêº,8,1,2,8,1,84,8,1
2024/8/21 1:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.3,8,ìÏêº,8,1,4,8,1,84,8,1
2024/8/21 2:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.3,8,ìÏêº,8,1,4,8,1,84,8,1
2024/8/21 3:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.0,8,ìÏêº,8,1,4,8,1,84,8,1
2024/8/21 4:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.9,8,êºìÏêº,8,1,4,8,1,83,8,1
2024/8/21 5:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.0,8,êºìÏêº,8,1,4,8,1,83,8,1
2024/8/21 6:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,2.5,8,êºìÏêº,8,1,4,8,1,83,8,1
2024/8/21 7:00:00,29.5,8,1,0,1,8,1,,,0,1,,,0,1,0.12,8,1,,0,1,2.5,8,êºìÏêº,8,1,4,8,1,82,8,1
2024/8/21 8:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0.46,8,1,,0,1,3.5,8,ìÏêº,8,1,4,8,1,81,8,1
2024/8/21 9:00:00,30.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0.96,8,1,,0,1,3.5,8,êºìÏêº,8,1,4,8,1,76,8,1
2024/8/21 10:00:00,30.6,8,1,0,1,8,1,,,0,1,,,0,1,1.30,8,1,,0,1,3.3,8,êº,8,1,4,8,1,77,8,1
2024/8/21 11:00:00,31.3,8,1,0,1,8,1,,,0,1,,,0,1,1.40,8,1,,0,1,3.0,8,êºìÏêº,8,1,4,8,1,76,8,1
2024/8/21 12:00:00,31.6,8,1,0,1,8,1,,,0,1,,,0,1,2.15,8,1,,0,1,3.4,8,êºìÏêº,8,1,4,8,1,73,8,1
2024/8/21 13:00:00,31.9,8,1,0,1,8,1,,,0,1,,,0,1,3.01,8,1,,0,1,4.1,8,ìÏêº,8,1,4,8,1,72,8,1
2024/8/21 14:00:00,32.1,8,1,0,1,8,1,,,0,1,,,0,1,2.69,8,1,,0,1,4.8,8,êºìÏêº,8,1,4,8,1,71,8,1
2024/8/21 15:00:00,32.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,2.64,8,1,,0,1,4.4,8,êºìÏêº,8,1,2,8,1,68,8,1
2024/8/21 16:00:00,31.4,8,1,0,1,8,1,,,0,1,,,0,1,1.75,8,1,,0,1,4.8,8,êºìÏêº,8,1,4,8,1,71,8,1
2024/8/21 17:00:00,30.8,8,1,0,1,8,1,,,0,1,,,0,1,0.91,8,1,,0,1,4.5,8,êºìÏêº,8,1,4,8,1,76,8,1
2024/8/21 18:00:00,30.3,8,1,0,1,8,1,,,0,1,,,0,1,0.39,8,1,,0,1,5.3,8,êºìÏêº,8,1,4,8,1,78,8,1
2024/8/21 19:00:00,29.9,8,1,0,1,8,1,,,0,1,,,0,1,0.11,8,1,,0,1,4.7,8,êºìÏêº,8,1,2,8,1,79,8,1
2024/8/21 20:00:00,29.7,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,3.5,8,êºìÏêº,8,1,2,8,1,80,8,1
2024/8/21 21:00:00,29.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,4.3,8,ìÏêº,8,1,2,8,1,81,8,1
2024/8/21 22:00:00,29.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.7,8,ìÏêº,8,1,2,8,1,83,8,1
2024/8/21 23:00:00,29.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.9,8,ìÏ,8,1,2,8,1,84,8,1
2024/8/22 00:00:00,29.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.1,8,ìÏêº,8,1,4,8,1,83,8,1
2024/8/22 1:00:00,29.4,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.2,8,êºìÏêº,8,1,4,8,1,85,8,1
2024/8/22 2:00:00,29.4,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,5.0,8,êºìÏêº,8,1,4,8,1,84,8,1
2024/8/22 3:00:00,29.4,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.5,8,êº,8,1,4,8,1,83,8,1
2024/8/22 4:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,5.0,8,êº,8,1,4,8,1,84,8,1
2024/8/22 5:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.0,8,êºìÏêº,8,1,4,8,1,84,8,1
2024/8/22 6:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,4.5,8,êº,8,1,4,8,1,83,8,1
2024/8/22 7:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0.08,8,1,,0,1,2.5,8,êº,8,1,4,8,1,84,8,1
2024/8/22 8:00:00,30.0,8,1,0,1,8,1,,,0,1,,,0,1,0.47,8,1,,0,1,4.1,8,êºìÏêº,8,1,4,8,1,79,8,1
2024/8/22 9:00:00,31.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.44,8,1,,0,1,3.8,8,êºìÏêº,8,1,4,8,1,75,8,1
2024/8/22 10:00:00,31.6,8,1,0,1,8,1,,,0,1,,,0,1,2.31,8,1,,0,1,4.2,8,êº,8,1,2,8,1,73,8,1
2024/8/22 11:00:00,31.4,8,1,0,1,8,1,,,0,1,,,0,1,2.52,8,1,,0,1,3.3,8,êº,8,1,2,8,1,73,8,1
2024/8/22 12:00:00,31.3,8,1,0,1,8,1,,,0,1,,,0,1,2.14,8,1,,0,1,2.8,8,êº,8,1,4,8,1,73,8,1
2024/8/22 13:00:00,31.6,8,1,0,1,8,1,,,0,1,,,0,1,2.28,8,1,,0,1,3.9,8,êºìÏêº,8,1,2,8,1,74,8,1
2024/8/22 14:00:00,31.2,8,1,0,1,8,1,,,0,1,,,0,1,2.11,8,1,,0,1,4.1,8,êº,8,1,2,8,1,74,8,1
2024/8/22 15:00:00,32.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.45,8,1,,0,1,3.6,8,êº,8,1,2,8,1,75,8,1
2024/8/22 16:00:00,31.7,8,1,0,1,8,1,,,0,1,,,0,1,1.56,8,1,,0,1,3.3,8,êº,8,1,2,8,1,74,8,1
2024/8/22 17:00:00,31.3,8,1,0,1,8,1,,,0,1,,,0,1,1.13,8,1,,0,1,3.2,8,êºñkêº,8,1,2,8,1,74,8,1
2024/8/22 18:00:00,30.9,8,1,0,1,8,1,,,0,1,,,0,1,1.02,8,1,,0,1,3.3,8,êº,8,1,2,8,1,76,8,1
2024/8/22 19:00:00,30.3,8,1,0,1,8,1,,,0,1,,,0,1,0.26,8,1,,0,1,2.9,8,êº,8,1,2,8,1,77,8,1
2024/8/22 20:00:00,30.2,8,1,0,1,8,1,,,0,1,,,0,1,0.00,8,1,,0,1,3.3,8,êº,8,1,2,8,1,78,8,1
2024/8/22 21:00:00,29.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,3.2,8,êºìÏêº,8,1,2,8,1,80,8,1
2024/8/22 22:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.4,8,êºìÏêº,8,1,2,8,1,80,8,1
